campaign_id,campaign_name,channel,campaign_type,budget_usd,started_at,ended_at
CMP_0001,Retention Instagram Q3,instagram,retention,10000,2025-08-06T00:00:00,2025-09-30T00:00:00
CMP_0002,Retention Tiktok Q4,tiktok,retention,5000,2025-11-26T00:00:00,2025-12-26T00:00:00
CMP_0003,Brand Facebook Q3,facebook,brand,100000,2025-07-27T00:00:00,2025-08-13T00:00:00
CMP_0004,Acquisition Facebook Q4,facebook,acquisition,50000,2025-10-11T00:00:00,2025-10-25T00:00:00
CMP_0005,Acquisition Facebook Q1,facebook,acquisition,100000,2025-02-20T00:00:00,2025-05-14T00:00:00
CMP_0006,Acquisition Tiktok Q2,tiktok,acquisition,2500,2024-06-03T00:00:00,2024-07-12T00:00:00
CMP_0007,Reactivation Instagram Q4,instagram,reactivation,10000,2024-11-28T00:00:00,2025-01-31T00:00:00
CMP_0008,Brand Podcast Q1,podcast,brand,5000,2025-02-07T00:00:00,2025-05-07T00:00:00
CMP_0009,Retention Facebook Q2,facebook,retention,50000,2025-05-31T00:00:00,2025-07-06T00:00:00
CMP_0010,Acquisition Tiktok Q3,tiktok,acquisition,5000,2025-07-24T00:00:00,2025-08-08T00:00:00
CMP_0011,Retention Tiktok Q4,tiktok,retention,25000,2024-10-28T00:00:00,2025-01-17T00:00:00
CMP_0012,Reactivation Podcast Q2,podcast,reactivation,50000,2024-06-20T00:00:00,2024-07-28T00:00:00
CMP_0013,Acquisition Email Q1,email,acquisition,50000,2025-02-26T00:00:00,2025-04-23T00:00:00
CMP_0014,Brand Tiktok Q3,tiktok,brand,5000,2025-07-13T00:00:00,2025-10-01T00:00:00
CMP_0015,Reactivation Instagram Q1,instagram,reactivation,50000,2025-02-25T00:00:00,2025-04-15T00:00:00
CMP_0016,Retention Instagram Q3,instagram,retention,25000,2025-08-14T00:00:00,2025-11-11T00:00:00
CMP_0017,Brand Facebook Q1,facebook,brand,2500,2024-03-01T00:00:00,2024-03-26T00:00:00
CMP_0018,Reactivation Email Q1,email,reactivation,25000,2024-03-17T00:00:00,2024-05-30T00:00:00
CMP_0019,Reactivation Email Q2,email,reactivation,50000,2024-05-26T00:00:00,2024-08-19T00:00:00
CMP_0020,Acquisition Podcast Q3,podcast,acquisition,50000,2025-09-30T00:00:00,2025-11-24T00:00:00
CMP_0021,Acquisition Instagram Q1,instagram,acquisition,50000,2025-01-31T00:00:00,2025-04-07T00:00:00
CMP_0022,Retention Tiktok Q4,tiktok,retention,2500,2024-10-01T00:00:00,2024-10-26T00:00:00
CMP_0023,Reactivation Instagram Q4,instagram,reactivation,25000,2024-12-27T00:00:00,2025-03-08T00:00:00
CMP_0024,Brand Tiktok Q1,tiktok,brand,5000,2025-03-02T00:00:00,2025-04-12T00:00:00
CMP_0025,Brand Email Q3,email,brand,5000,2025-09-08T00:00:00,2025-10-03T00:00:00
CMP_0026,Reactivation Podcast Q4,podcast,reactivation,5000,2025-10-19T00:00:00,2026-01-08T00:00:00
CMP_0027,Brand Facebook Q2,facebook,brand,10000,2024-04-11T00:00:00,2024-05-19T00:00:00
CMP_0028,Acquisition Podcast Q2,podcast,acquisition,50000,2024-06-21T00:00:00,2024-07-09T00:00:00
CMP_0029,Acquisition Podcast Q3,podcast,acquisition,5000,2025-07-13T00:00:00,2025-07-24T00:00:00
CMP_0030,Acquisition Facebook Q1,facebook,acquisition,10000,2024-01-30T00:00:00,2024-02-18T00:00:00
CMP_0031,Reactivation Facebook Q2,facebook,reactivation,2500,2025-04-30T00:00:00,2025-06-25T00:00:00
CMP_0032,Reactivation Tiktok Q1,tiktok,reactivation,2500,2025-01-03T00:00:00,2025-02-16T00:00:00
CMP_0033,Brand Google Ads Q4,google_ads,brand,100000,2024-12-27T00:00:00,2025-01-24T00:00:00
CMP_0034,Brand Facebook Q4,facebook,brand,2500,2025-11-30T00:00:00,2026-02-13T00:00:00
CMP_0035,Brand Instagram Q4,instagram,brand,25000,2024-11-16T00:00:00,2024-12-02T00:00:00
CMP_0036,Acquisition Tiktok Q2,tiktok,acquisition,2500,2025-05-05T00:00:00,2025-06-03T00:00:00
CMP_0037,Brand Facebook Q3,facebook,brand,2500,2024-08-01T00:00:00,2024-09-07T00:00:00
CMP_0038,Brand Email Q1,email,brand,50000,2025-02-11T00:00:00,2025-03-20T00:00:00
CMP_0039,Brand Facebook Q1,facebook,brand,25000,2025-03-14T00:00:00,2025-05-28T00:00:00
CMP_0040,Brand Email Q1,email,brand,10000,2024-02-19T00:00:00,2024-03-25T00:00:00
